Date,Drillhole_USC,Average of Daily rainfall,Average of Total Head
2024-07-11 00:00:00,BH21-P60_CH,,1150.911879023205
2024-07-11 00:00:00,BH21-P60_GP-GC,,1156.15413784932
2024-07-11 00:00:00,P42_CH,,1161.73769292235
2024-07-11 00:00:00,P42_CL,,1156.68231183458
2024-07-11 00:00:00,P42_SC,,1157.673929715
2024-07-11 00:00:00,P47_CH,,1146.67241893646
2024-07-11 00:00:00,P47_SC,,1154.61926652551
2024-07-11 00:00:00,P59_CL,,1154.72939861433
2024-07-11 00:00:00,P59_SC,,1156.54476036631
2024-07-11 00:00:00,P59_SM,,1153.86449944821
2024-07-12 00:00:00,BH21-P60_CH,,1150.90214837935
2024-07-12 00:00:00,BH21-P60_GP-GC,,1156.13687502563
2024-07-12 00:00:00,P42_CH,,1161.60367409337
2024-07-12 00:00:00,P42_CL,,1156.57334054073
2024-07-12 00:00:00,P42_SC,,1157.68439653483
2024-07-12 00:00:00,P47_CH,,1146.66454040037
2024-07-12 00:00:00,P47_SC,,1154.60268013306
2024-07-12 00:00:00,P59_CL,,1154.71030495294
2024-07-12 00:00:00,P59_SC,,1156.52683056237
2024-07-12 00:00:00,P59_SM,,1153.85045033127
2024-07-13 00:00:00,BH21-P60_CH,,1150.89596026904
2024-07-13 00:00:00,BH21-P60_GP-GC,,1156.13683278373
2024-07-13 00:00:00,P42_CH,,1161.67674432323
2024-07-13 00:00:00,P42_CL,,1156.66480378572
2024-07-13 00:00:00,P42_SC,,1157.72812064621
2024-07-13 00:00:00,P47_CH,,1146.65578645682
2024-07-13 00:00:00,P47_SC,,1154.60528253942
2024-07-13 00:00:00,P59_CL,,1154.71786350442
2024-07-13 00:00:00,P59_SC,,1156.52974795896
2024-07-13 00:00:00,P59_SM,,1153.85806965251
2024-07-14 00:00:00,BH21-P60_CH,,1150.91647594181
2024-07-14 00:00:00,BH21-P60_GP-GC,,1156.17370980851
2024-07-14 00:00:00,P42_CH,,1161.69150761479
2024-07-14 00:00:00,P42_CL,,1156.63706366668
2024-07-14 00:00:00,P42_SC,,1157.70178492364
2024-07-14 00:00:00,P47_CH,,1146.68273604829
2024-07-14 00:00:00,P47_SC,,1154.64381676933
2024-07-14 00:00:00,P59_CL,,1154.76461083907
2024-07-14 00:00:00,P59_SC,,1156.57168533026
2024-07-14 00:00:00,P59_SM,,1153.90044181671
2024-07-15 00:00:00,BH21-P60_CH,,1150.930303779795
2024-07-15 00:00:00,BH21-P60_GP-GC,,1156.20082879295
2024-07-15 00:00:00,P42_CH,,1161.68455680905
2024-07-15 00:00:00,P42_CL,,1156.63780264675
2024-07-15 00:00:00,P42_SC,,1157.77443299059
2024-07-15 00:00:00,P47_CH,,1146.70393295673
2024-07-15 00:00:00,P47_SC,,1154.66799061803
2024-07-15 00:00:00,P59_CL,,1154.83837332382
2024-07-15 00:00:00,P59_SC,,1156.63532000155
2024-07-15 00:00:00,P59_SM,,1153.97505817586
2024-07-16 00:00:00,BH21-P60_CH,,1150.976269283285
2024-07-16 00:00:00,BH21-P60_GP-GC,,1156.3065996431
2024-07-16 00:00:00,P42_CH,,1161.80294914782
2024-07-16 00:00:00,P42_CL,,1156.7953740756
2024-07-16 00:00:00,P42_SC,,1158.29116157711
2024-07-16 00:00:00,P47_CH,,1146.88788583531
2024-07-16 00:00:00,P47_SC,,1154.77913828913
2024-07-16 00:00:00,P59_CL,,1154.93377675681
2024-07-16 00:00:00,P59_SC,,1156.71873660937
2024-07-16 00:00:00,P59_SM,,1154.06722563024
2024-07-17 00:00:00,BH21-P60_CH,,1150.980840993895
2024-07-17 00:00:00,BH21-P60_GP-GC,,1156.29285746486
2024-07-17 00:00:00,P42_CH,,1161.85430344274
2024-07-17 00:00:00,P42_CL,,1156.79804570933
2024-07-17 00:00:00,P42_SC,,1158.34709159208
2024-07-17 00:00:00,P47_CH,,1146.86640834124
2024-07-17 00:00:00,P47_SC,,1154.75847665509
2024-07-17 00:00:00,P59_CL,,1154.84672084016
2024-07-17 00:00:00,P59_SC,,1156.65625786445
2024-07-17 00:00:00,P59_SM,,1153.9838024409
2024-07-18 00:00:00,BH21-P60_CH,,1150.982245954375
2024-07-18 00:00:00,BH21-P60_GP-GC,,1156.27025880762
2024-07-18 00:00:00,P42_CH,,1161.83597908768
2024-07-18 00:00:00,P42_CL,,1156.80407109212
2024-07-18 00:00:00,P42_SC,,1158.22757857437
2024-07-18 00:00:00,P47_CH,,1146.80066225122
2024-07-18 00:00:00,P47_SC,,1154.73192049941
2024-07-18 00:00:00,P59_CL,,1154.79578552848
2024-07-18 00:00:00,P59_SC,,1156.61869727611
2024-07-18 00:00:00,P59_SM,,1153.93339406345
2024-07-19 00:00:00,BH21-P60_CH,,1150.95415848798
2024-07-19 00:00:00,BH21-P60_GP-GC,,1156.21400805062
2024-07-19 00:00:00,P42_CH,,1161.80030674451
2024-07-19 00:00:00,P42_CL,,1156.78588124078
2024-07-19 00:00:00,P42_SC,,1158.04430970892
2024-07-19 00:00:00,P47_CH,,1146.7067154351
2024-07-19 00:00:00,P47_SC,,1154.67338346721
2024-07-19 00:00:00,P59_CL,,1154.74096404473
2024-07-19 00:00:00,P59_SC,,1156.56901107453
2024-07-19 00:00:00,P59_SM,,1153.87076848912
2024-07-20 00:00:00,BH21-P60_CH,,1150.9417020834949
2024-07-20 00:00:00,BH21-P60_GP-GC,,1156.19187363324
2024-07-20 00:00:00,P42_CH,,1161.69409262307
2024-07-20 00:00:00,P42_CL,,1156.69180481599
2024-07-20 00:00:00,P42_SC,,1157.94572386474
2024-07-20 00:00:00,P47_CH,,1146.64371849525
2024-07-20 00:00:00,P47_SC,,1154.65134171833
2024-07-20 00:00:00,P59_CL,,1154.72921648129
2024-07-20 00:00:00,P59_SC,,1156.55333018008
2024-07-20 00:00:00,P59_SM,,1153.85199348611
2024-07-21 00:00:00,BH21-P60_CH,,1150.9448724885751
2024-07-21 00:00:00,BH21-P60_GP-GC,,1156.21495143611
2024-07-21 00:00:00,P42_CH,,1161.69150761479
2024-07-21 00:00:00,P42_CL,,1156.65087689603
2024-07-21 00:00:00,P42_SC,,1157.9229341136
2024-07-21 00:00:00,P47_CH,,1146.63849737332
2024-07-21 00:00:00,P47_SC,,1154.67902713886
2024-07-21 00:00:00,P59_CL,,1154.78100262578
2024-07-21 00:00:00,P59_SC,,1156.59031390934
2024-07-21 00:00:00,P59_SM,,1153.90426750605
2024-07-22 00:00:00,BH21-P60_CH,,1150.925731960225
2024-07-22 00:00:00,BH21-P60_GP-GC,,1156.21716205501
2024-07-22 00:00:00,P42_CH,,1161.75934933915
2024-07-22 00:00:00,P42_CL,,1156.71363293786
2024-07-22 00:00:00,P42_SC,,1158.00328872805
2024-07-22 00:00:00,P47_CH,,1146.64568813864
2024-07-22 00:00:00,P47_SC,,1154.68021857964
2024-07-22 00:00:00,P59_CL,,1154.78327925724
2024-07-22 00:00:00,P59_SC,,1156.59076974638
2024-07-22 00:00:00,P59_SM,,1153.90343164146
2024-07-23 00:00:00,BH21-P60_CH,,1150.9888466080201
2024-07-23 00:00:00,BH21-P60_GP-GC,,1156.38899546934
2024-07-23 00:00:00,P42_CH,,1161.81604625953
2024-07-23 00:00:00,P42_CL,,1156.7832096022
2024-07-23 00:00:00,P42_SC,,1159.00403588295
2024-07-23 00:00:00,P47_CH,,1146.96697974171
2024-07-23 00:00:00,P47_SC,,1154.8689947852
2024-07-23 00:00:00,P59_CL,,1155.03476277006
2024-07-23 00:00:00,P59_SC,,1156.76282980354
2024-07-23 00:00:00,P59_SM,,1154.15656206906
2024-07-24 00:00:00,BH21-P60_CH,,1151.0734461289098
2024-07-24 00:00:00,BH21-P60_GP-GC,,1156.54084351016
2024-07-24 00:00:00,P42_CH,,1161.95861904434
2024-07-24 00:00:00,P42_CL,,1156.96152493113
2024-07-24 00:00:00,P42_SC,,1159.40235581863
2024-07-24 00:00:00,P47_CH,,1147.09374622003
2024-07-24 00:00:00,P47_SC,,1155.01578325609
2024-07-24 00:00:00,P59_CL,,1154.91577686467
2024-07-24 00:00:00,P59_SC,,1156.72210970809
2024-07-24 00:00:00,P59_SM,,1154.03276354389
2024-07-25 00:00:00,BH21-P60_CH,,1151.147910763905
2024-07-25 00:00:00,BH21-P60_GP-GC,,1156.64273426437
2024-07-25 00:00:00,P42_CH,,1162.13329752081
2024-07-25 00:00:00,P42_CL,,1157.03200848443
2024-07-25 00:00:00,P42_SC,,1159.80886422678
2024-07-25 00:00:00,P47_CH,,1147.44301735591
2024-07-25 00:00:00,P47_SC,,1155.10528961934
2024-07-25 00:00:00,P59_CL,,1154.9000838033
2024-07-25 00:00:00,P59_SC,,1156.76137117949
2024-07-25 00:00:00,P59_SM,,1154.00791336723
2024-07-26 00:00:00,BH21-P60_CH,,1151.18699646078
2024-07-26 00:00:00,BH21-P60_GP-GC,,1156.70409000029
2024-07-26 00:00:00,P42_CH,,1162.18642952239
2024-07-26 00:00:00,P42_CL,,1157.09282837456
2024-07-26 00:00:00,P42_SC,,1160.09524987133
2024-07-26 00:00:00,P47_CH,,1147.68370733277
2024-07-26 00:00:00,P47_SC,,1155.16642241956
2024-07-26 00:00:00,P59_CL,,1154.84972594157
2024-07-26 00:00:00,P59_SC,,1156.76304251951
2024-07-26 00:00:00,P59_SM,,1153.94159189748
2024-07-27 00:00:00,BH21-P60_CH,,1151.2580440106399
2024-07-27 00:00:00,BH21-P60_GP-GC,,1156.75573063275
2024-07-27 00:00:00,P42_CH,,1162.22887733379
2024-07-27 00:00:00,P42_CL,,1157.2049742585
2024-07-27 00:00:00,P42_SC,,1160.22873463223
2024-07-27 00:00:00,P47_CH,,1147.81233105733
2024-07-27 00:00:00,P47_SC,,1155.20692630744
2024-07-27 00:00:00,P59_CL,,1154.83636991718
2024-07-27 00:00:00,P59_SC,,1156.79175908485
2024-07-27 00:00:00,P59_SM,,1153.91818784073
2024-07-28 00:00:00,BH21-P60_CH,,1151.3181650628499
2024-07-28 00:00:00,BH21-P60_GP-GC,,1156.7979380818
2024-07-28 00:00:00,P42_CH,,1162.24536239463
2024-07-28 00:00:00,P42_CL,,1157.23021108691
2024-07-28 00:00:00,P42_SC,,1160.35608539532
2024-07-28 00:00:00,P47_CH,,1147.90394413969
2024-07-28 00:00:00,P47_SC,,1155.24413811169
2024-07-28 00:00:00,P59_CL,,1154.82884195553
2024-07-28 00:00:00,P59_SC,,1156.81473220786
2024-07-28 00:00:00,P59_SM,,1153.90391387105
2024-07-29 00:00:00,BH21-P60_CH,,1151.362808714915
2024-07-29 00:00:00,BH21-P60_GP-GC,,1156.81114366271
2024-07-29 00:00:00,P42_CH,,1162.22623512455
2024-07-29 00:00:00,P42_CL,,1157.16575467452
2024-07-29 00:00:00,P42_SC,,1160.39073516585
2024-07-29 00:00:00,P47_CH,,1147.97727090397
2024-07-29 00:00:00,P47_SC,,1155.25354289405
2024-07-29 00:00:00,P59_CL,,1154.80149225997
2024-07-29 00:00:00,P59_SC,,1156.80904971326
2024-07-29 00:00:00,P59_SM,,1153.87208659392
2024-07-30 00:00:00,BH21-P60_CH,,1151.3953752265002
2024-07-30 00:00:00,BH21-P60_GP-GC,,1156.82229375909
2024-07-30 00:00:00,P42_CH,,1162.26535118602
2024-07-30 00:00:00,P42_CL,,1157.1944588853
2024-07-30 00:00:00,P42_SC,,1160.5154390425
2024-07-30 00:00:00,P47_SC,,1155.26122345003
2024-07-30 00:00:00,P59_CL,,1154.78118475634
2024-07-30 00:00:00,P59_SC,,1156.80798614397
2024-07-30 00:00:00,P59_SM,,1153.84257380257
2024-07-31 00:00:00,BH21-P60_CH,,1151.4281234825098
2024-07-31 00:00:00,BH21-P60_GP-GC,,1156.83989170578
2024-07-31 00:00:00,P42_CH,,1162.26805081635
2024-07-31 00:00:00,P42_CL,,1157.16137798208
2024-07-31 00:00:00,P42_SC,,1160.586367862
2024-07-31 00:00:00,P47_SC,,1155.27589483869
2024-07-31 00:00:00,P59_CL,,1154.7939642294
2024-07-31 00:00:00,P59_SC,,1156.82187330073
2024-07-31 00:00:00,P59_SM,,1153.84443845158
2024-08-01 00:00:00,BH21-P60_CH,,1151.4344529354098
2024-08-01 00:00:00,BH21-P60_GP-GC,,1156.80068338182
2024-08-01 00:00:00,P42_CL,,1157.19889239601
2024-08-01 00:00:00,P42_SC,,1160.4556467327
2024-08-01 00:00:00,P47_CH,,1147.9869914642
2024-08-01 00:00:00,P47_SC,,1155.2278364369
2024-08-01 00:00:00,P59_CL,,1154.7825810904
2024-08-01 00:00:00,P59_SC,,1156.80677063591
2024-08-01 00:00:00,P59_SM,,1153.83746208793
2024-08-02 00:00:00,BH21-P60_CH,,1151.391445494125
2024-08-02 00:00:00,BH21-P60_GP-GC,,1156.72487022047
2024-08-02 00:00:00,P42_CL,,1157.1092553344
2024-08-02 00:00:00,P42_SC,,1160.1558893102
2024-08-02 00:00:00,P47_CH,,1147.63116288609
2024-08-02 00:00:00,P47_SC,,1155.15099823133
2024-08-02 00:00:00,P59_CL,,1154.80807927452
2024-08-02 00:00:00,P59_SC,,1156.80561590296
2024-08-02 00:00:00,P59_SM,,1153.855079794
2024-08-03 00:00:00,BH21-P60_CH,,1151.3956240083248
2024-08-03 00:00:00,BH21-P60_GP-GC,,1156.75128179139
2024-08-03 00:00:00,P47_CH,,1147.59512226522
2024-08-03 00:00:00,P47_SC,,1155.18720736027
2024-08-03 00:00:00,P59_CL,,1154.92385102579
2024-08-03 00:00:00,P59_SC,,1156.86095159531
2024-08-03 00:00:00,P59_SM,,1153.98242007674
2024-08-04 00:00:00,BH21-P60_CH,,1151.3945724361852
2024-08-04 00:00:00,BH21-P60_GP-GC,,1156.74386235265
2024-08-04 00:00:00,P47_CH,,1147.46696183877
2024-08-04 00:00:00,P47_SC,,1155.17943261371
2024-08-04 00:00:00,P59_CL,,1155.00280084985
2024-08-04 00:00:00,P59_SC,,1156.89252394041
2024-08-04 00:00:00,P59_SM,,1154.07423374222
2024-08-05 00:00:00,BH21-P60_CH,,1151.3676835014899
2024-08-05 00:00:00,BH21-P60_GP-GC,,1156.6886596362
2024-08-05 00:00:00,P47_CH,,1147.31063293039
2024-08-05 00:00:00,P47_SC,,1155.12356685633
2024-08-05 00:00:00,P59_CL,,1154.96652845029
2024-08-05 00:00:00,P59_SC,,1156.84715571902
2024-08-05 00:00:00,P59_SM,,1154.04276143707
2024-08-06 00:00:00,BH21-P60_CH,,1151.331409594545
2024-08-06 00:00:00,BH21-P60_GP-GC,,1156.63259739014
2024-08-06 00:00:00,P47_CH,,1147.14726540608
2024-08-06 00:00:00,P47_SC,,1155.07296723563
2024-08-06 00:00:00,P59_CL,,1154.94324715495
2024-08-06 00:00:00,P59_SC,,1156.81081219897
2024-08-06 00:00:00,P59_SM,,1154.02077246878
2024-08-07 00:00:00,BH21-P60_CH,,1151.31548925502
2024-08-07 00:00:00,BH21-P60_GP-GC,,1156.60539665931
2024-08-07 00:00:00,P47_CH,,1147.06354764152
2024-08-07 00:00:00,P47_SC,,1155.0445948034
2024-08-07 00:00:00,P59_CL,,1154.9493179106
2024-08-07 00:00:00,P59_SC,,1156.80327604845
2024-08-07 00:00:00,P59_SM,,1154.02437300984
2024-08-08 00:00:00,BH21-P60_CH,,1151.3235478289998
2024-08-08 00:00:00,BH21-P60_GP-GC,,1156.55533109532
2024-08-08 00:00:00,P47_CH,,1146.94975425835
2024-08-08 00:00:00,P47_SC,,1154.99669039794
2024-08-08 00:00:00,P59_CL,,1154.94373281576
2024-08-08 00:00:00,P59_SC,,1156.78069791057
2024-08-08 00:00:00,P59_SM,,1154.01987233301
2024-08-09 00:00:00,BH21-P60_CH,,1151.24037678955
2024-08-09 00:00:00,BH21-P60_GP-GC,,1156.46578605413
2024-08-09 00:00:00,P47_CH,,1146.8352079745
2024-08-09 00:00:00,P47_SC,,1154.90990923883
2024-08-09 00:00:00,P59_CL,,1154.90075159446
2024-08-09 00:00:00,P59_SC,,1156.72004330557
2024-08-09 00:00:00,P59_SM,,1153.98585991226
2024-08-10 00:00:00,BH21-P60_CH,,1151.21773390201
2024-08-10 00:00:00,BH21-P60_GP-GC,,1156.43865466418
2024-08-10 00:00:00,P47_CH,,1146.76374026872
2024-08-10 00:00:00,P47_SC,,1154.88702227767
2024-08-10 00:00:00,P59_CL,,1154.97739502966
2024-08-10 00:00:00,P59_SC,,1156.75960867481
2024-08-10 00:00:00,P59_SM,,1154.06693630425
2024-08-11 00:00:00,BH21-P60_CH,,1151.21937844122
2024-08-11 00:00:00,BH21-P60_GP-GC,,1156.43413509579
2024-08-11 00:00:00,P47_CH,,1146.816074988
2024-08-11 00:00:00,P47_SC,,1154.89059641442
2024-08-11 00:00:00,P59_CL,,1154.99381625419
2024-08-11 00:00:00,P59_SC,,1156.76313368349
2024-08-11 00:00:00,P59_SM,,1154.08767128055
2024-08-12 00:00:00,BH21-P60_CH,,1151.19367529256
2024-08-12 00:00:00,BH21-P60_GP-GC,,1156.38401121448
2024-08-12 00:00:00,P47_CH,,1146.7627085752
2024-08-12 00:00:00,P47_SC,,1154.84206312878
2024-08-12 00:00:00,P59_CL,,1154.97044406487
2024-08-12 00:00:00,P59_SC,,1156.72909900387
2024-08-12 00:00:00,P59_SM,,1154.0661004735
2024-08-13 00:00:00,BH21-P60_CH,,1151.159258086105
2024-08-13 00:00:00,BH21-P60_GP-GC,,1156.37174767012
2024-08-13 00:00:00,P47_CH,,1146.74073032637
2024-08-13 00:00:00,P47_SC,,1154.83187357271
2024-08-13 00:00:00,P59_CL,,1154.98091603756
2024-08-13 00:00:00,P59_SC,,1156.72909900387
2024-08-13 00:00:00,P59_SM,,1154.0786057692
2024-08-14 00:00:00,BH21-P60_CH,,1151.155423048735
2024-08-14 00:00:00,BH21-P60_GP-GC,,1156.37301485772
2024-08-14 00:00:00,P47_CH,,1146.73891703837
2024-08-14 00:00:00,P47_SC,,1154.83585534077
2024-08-14 00:00:00,P59_CL,,1154.96036666107
2024-08-14 00:00:00,P59_SC,,1156.7077056476
2024-08-14 00:00:00,P59_SM,,1154.05967100041
2024-08-15 00:00:00,BH21-P60_CH,,1151.13419973221
2024-08-15 00:00:00,BH21-P60_GP-GC,,1156.34403840754
2024-08-15 00:00:00,P47_CH,,1146.70665290751
2024-08-15 00:00:00,P47_SC,,1154.80196315772
2024-08-15 00:00:00,P59_CL,,1154.94327750875
2024-08-15 00:00:00,P59_SC,,1156.68907754459
2024-08-15 00:00:00,P59_SM,,1154.04063969976
2024-08-16 00:00:00,BH21-P60_CH,,1151.09948136381
2024-08-16 00:00:00,BH21-P60_GP-GC,,1156.29039344259
2024-08-16 00:00:00,P47_CH,,1146.66238317999
2024-08-16 00:00:00,P47_SC,,1154.74609216507
2024-08-16 00:00:00,P59_CL,,1154.92901119499
2024-08-16 00:00:00,P59_SC,,1156.66151510676
2024-08-16 00:00:00,P59_SM,,1154.02450160053
2024-08-17 00:00:00,BH21-P60_CH,,1151.0723991726
2024-08-17 00:00:00,BH21-P60_GP-GC,,1156.27437022327
2024-08-17 00:00:00,P47_CH,,1146.64643847877
2024-08-17 00:00:00,P47_SC,,1154.72856569515
2024-08-17 00:00:00,P59_CL,,1154.94956074063
2024-08-17 00:00:00,P59_SC,,1156.66978081662
2024-08-17 00:00:00,P59_SM,,1154.04993032908
2024-08-18 00:00:00,BH21-P60_CH,,1151.05737133881
2024-08-18 00:00:00,BH21-P60_GP-GC,,1156.27473630804
2024-08-18 00:00:00,P47_CH,,1146.64784536622
2024-08-18 00:00:00,P47_SC,,1154.73571424665
2024-08-18 00:00:00,P59_CL,,1154.93547657359
2024-08-18 00:00:00,P59_SC,,1156.65166916827
2024-08-18 00:00:00,P59_SM,,1154.0382929284
2024-08-19 00:00:00,BH21-P60_CH,,1151.044970204865
2024-08-19 00:00:00,BH21-P60_GP-GC,,1156.25616450693
2024-08-19 00:00:00,P47_CH,,1146.64643847877
2024-08-19 00:00:00,P47_SC,,1154.72564983498
2024-08-19 00:00:00,P59_CL,,1154.91850872561
2024-08-19 00:00:00,P59_SC,,1156.63556311226
2024-08-19 00:00:00,P59_SM,,1154.02183334282
2024-08-20 00:00:00,BH21-P60_CH,,1151.0252905387752
2024-08-20 00:00:00,BH21-P60_GP-GC,,1156.23611419324
2024-08-20 00:00:00,P47_CH,,1146.64468768495
2024-08-20 00:00:00,P47_SC,,1154.71060020051
2024-08-20 00:00:00,P59_CL,,1154.9253383694
2024-08-20 00:00:00,P59_SC,,1156.63519844619
2024-08-20 00:00:00,P59_SM,,1154.02385864703
2024-08-21 00:00:00,BH21-P60_CH,,1151.0059796087148
2024-08-21 00:00:00,BH21-P60_GP-GC,,1156.20019517378
2024-08-21 00:00:00,P47_CH,,1146.61830064675
2024-08-21 00:00:00,P47_SC,,1154.67328940595
2024-08-21 00:00:00,P59_CL,,1154.91234685871
2024-08-21 00:00:00,P59_SC,,1156.61419970934
2024-08-21 00:00:00,P59_SM,,1154.00527724633
2024-08-22 00:00:00,BH21-P60_CH,,1150.9896121473448
2024-08-22 00:00:00,BH21-P60_GP-GC,,1156.17006295382
2024-08-22 00:00:00,P47_CH,,1146.60304362277
2024-08-22 00:00:00,P47_SC,,1154.64356593746
2024-08-22 00:00:00,P59_CL,,1154.89203994601
2024-08-22 00:00:00,P59_SC,,1156.58618098478
2024-08-22 00:00:00,P59_SM,,1153.98650287185
2024-08-23 00:00:00,BH21-P60_CH,,1150.976155485645
2024-08-23 00:00:00,BH21-P60_GP-GC,,1156.15989680198
2024-08-23 00:00:00,P47_CH,,1146.59625923446
2024-08-23 00:00:00,P47_SC,,1154.63196494616
2024-08-23 00:00:00,P59_CL,,1154.89191852917
2024-08-23 00:00:00,P59_SC,,1156.58371946176
2024-08-23 00:00:00,P59_SM,,1153.98753160697
2024-08-24 00:00:00,BH21-P60_CH,,1150.99218878994
2024-08-24 00:00:00,BH21-P60_GP-GC,,1156.21930227095
2024-08-24 00:00:00,P47_CH,,1146.65328532728
2024-08-24 00:00:00,P47_SC,,1154.69620893498
2024-08-24 00:00:00,P59_CL,,1154.93483914239
